Section #,Section Name,Parameter / Check / Case,Assignment Value,Literature Value / Range,"Verified Reference (Author, Year, Source)",Deviation,Status
1,Kinetic Parameters,Pre-exponential factor k₀,5.01 × 10⁶ s⁻¹,4–8 × 10⁶ s⁻¹,"Miki et al. (1984) Pol. J. Chem. 58, 487; Batiha (2017) Jordan J. Chem. Eng.",Within range, Confirmed
1,Kinetic Parameters,Activation energy EA,72.5 kJ/mol,60–88 kJ/mol,"Zheng et al. (2007) J. Phys. Chem. A 111(34) — DFT: acid ~80, alkaline ~60 kJ/mol; Parker & Isaacs (1959) Can. J. Chem. 37, 1597 — 79.5 kJ/mol (neutral aqueous); iomosaic DIERS WP-02 (2009) — single EA for EO–water reactions",~9% vs 79.5 kJ/mol,Confirmed
1,Kinetic Parameters,Rate constant k(423 K),5.5817e-03 s⁻¹,~2.8 × 10⁻³ s⁻¹ (extrapolated),ACS Ind. Eng. Chem. Res. (2009) DOI:10.1021/ie901037w — experiments at 358–388 K only; Arrhenius extrap. to 423 K carries ±factor 2,×2 (35–65 K extrap. gap), Acceptable
1,Kinetic Parameters,Reaction order in EO,1st order (pseudo),1st order (H₂O large excess),"Fogler H.S. (2016) Elements of CRE, 5th ed., Ch. 3; Miki et al. (1984) — verified in dilute aqueous EO; EPA Health Assessment for EO (1985) Table 3-3",Exact match, Confirmed
2,Thermodynamic Parameters,Reaction enthalpy ΔHR,−92.2 kJ/mol,−91.8 to −92.8 kJ/mol (direct); −88 to −94 kJ/mol (industrial),"Moureu & Dode (1937) Bull. Soc. Chim. France 4, 637–647 — DIRECT aqueous calorimetry: midpoint of measured range; Kirk-Othmer Enc. Chem. Tech. (2004) Vol. 10; EU BAT 2017 BREF",<0.3% vs direct calorimetry, Confirmed
2,Thermodynamic Parameters,Adiabatic temperature rise ΔTad,49.95 K,38–50 K,Shell Catalysts & Technologies (2017) EOEG Manufacturing Technology — ~38 K at 9 wt% EO; Güttel & Turek (2021) Chemische Reaktionstechnik Springer Eq. 11.6b p.143; Formula: −ΔHR·cEOin/(ρ·cp) = 92200×2270/(1000×4190) = 49.95 K ✓,At upper bound (higher feed conc.), Confirmed
2,Thermodynamic Parameters,Fluid density ρ,1000 kg/m³,917 kg/m³ @ 423 K (IAPWS-IF97),"NIST WebBook Fluid Properties (Water, CAS 7732-18-5) — ρ=917.0 kg/m³ @ 423 K, 1 bar; Wagner & Kruse (2007) IAPWS-IF97; Perry's CEnH 8th ed. Table 2-98",~9% (standard dilute aq. approx.), Std Approx.
2,Thermodynamic Parameters,Heat capacity cp,4.19 kJ/(kg·K),4.256 kJ/(kg·K) @ 423 K,"NIST WebBook Fluid Properties (Water) — cp=4.256 kJ/(kg·K) @ 423 K, 1 bar; Perry's CEnH 8th ed. Table 2-151; VDI Heat Atlas 11th ed. (2010)",<1.6%, Confirmed
2,Thermodynamic Parameters,Prater number β,0.1181,0.10–0.14 (near-adiabatic regime),Güttel & Turek (2021) Chemische Reaktionstechnik Springer Eq. 11.6c p.144 — β = −ΔHR·cEOin/(ρ·cp·Tin) = 49.95/423 = 0.1181; Fogler (2016) CRE 5th ed. Ch. 12 — Damköhler/Prater analysis,0%, Confirmed
3,Operating Conditions,Inlet temperature Tin,423 K (150 °C),150–270 °C,EU BAT 2017 BREF (Large Volume Organics) Table 5.1; Ullmann's Enc. Ind. Chem. (Sattler 2012) Vol. A10 p.101 — non-catalytic route window,At lower bound of industrial range, Realistic
