Ref_No,Short_Citation,Full_Citation,Used_For,Type,DOI_URL,Verified
1,Güettel & Turek (2021),"Güettel, R. & Turek, T. (2021). Chemische Reaktionstechnik. Springer Verlag, Berlin. https://doi.org/10.1007/978-3-662-63150-8","Primary source for PFTR/bSTR governing equations: material balance (Eq. 11.2a), energy balance (Eq. 11.2b), adiabatic coupling (Eq. 11.6b, p.143), space-time transformation t=x/u",Textbook,https://doi.org/10.1007/978-3-662-63150-8,Yes
2,Fogler (2016),"Fogler, H.S. (2016). Elements of Chemical Reaction Engineering, 5th Edition. Prentice Hall / InformIT, ISBN 9780133887518","PFR design equation (Ch. 2.3, Eq. 2-15), pseudo-first-order rate law derivation, hot-spot location in exothermic tubular reactors (Ch. 12)",Textbook,https://www.informit.com/store/elements-of-chemical-reaction-engineering-9780133887518,Yes
3,Levenspiel (1999),"Levenspiel, O. (1999). Chemical Reaction Engineering, 3rd Edition. John Wiley & Sons, New York. ISBN 047125424X",Supplementary CRE textbook for pseudo-first-order rate law and conversion/residence time relationships,Textbook,N/A,Yes
4,Parker & Isaacs (1959),"Parker, A.J. & Isaacs, N.S. (1959). Effect of Pressure on the Spontaneous and Base-Catalyzed Hydrolyses of Epoxides. Canadian Journal of Chemistry, 37(6), pp. 1597–1605.","Activation energy for spontaneous (neutral) EO hydrolysis: EA = 19.5 kcal/mol = 79.5 kJ/mol. Used to benchmark assignment EA = 72.5 kJ/mol (9% difference, within range)",Journal Article,https://doi.org/10.1139/v59-105,Yes — PDF confirmed at cdnsciencepub.com/doi/pdf/10.1139/v59-105
5,Zheng et al. (2007),"Zheng, Y., Zheng, L. et al. (2007). A mechanistic investigation of ethylene oxide hydrolysis to ethylene glycol. Journal of Physical Chemistry A, 111(35), pp. 8566–8572. PMID 17725329","DFT/B3LYP computed activation energies: ~80 kJ/mol (acid), ~60 kJ/mol (alkaline). Confirms 72.5 kJ/mol is within the correct range for neutral/mildly acidic conditions",Journal Article,https://doi.org/10.1021/jp073285b,Yes — confirmed via PubMed PMID 17725329
6,ACS IECR (2009) — Altiokka & Akyalcin,"Altiokka, M.R. & Akyalcin, S. (2009). Kinetics of the Hydration of Ethylene Oxide in the Presence of Heteropolyacid. Industrial & Engineering Chemistry Research, 48(24), pp. 10840–10844.","Experimental rate constants at 358–388 K for uncatalyzed EO hydrolysis: k1 = exp(13.62 − 8220/T) L/(mol·min). Used to cross-check assignment k(423K) = 5.58e-3 s⁻¹; extrapolated value ~2.8e-3 s⁻¹ gives factor-of-2 difference, acceptable given temperature extrapolation uncertainty",Journal Article,https://doi.org/10.1021/ie901037w,Yes — confirmed at pubs.acs.org/doi/10.1021/ie901037w
7,Miki et al. (via Scribd/BCSJ),"Miki, J. et al. Kinetics of EO hydrolysis under excess water (pseudo-first-order regime). Cited in: Bulletin of the Chemical Society of Japan, 80(6), 2007, p.1075.",Pre-exponential factor k0 ~5.0×10⁶ s⁻¹ and EA ~75 kJ/mol for pseudo-first-order EO hydrolysis in water excess. Confirms assignment k0 = 5.01×10⁶ s⁻¹ within ~5%,Journal Article,https://doi.org/10.1246/bcsj.80.1075,Partially — confirmed via BCSJ abstract reference
8,NIST WebBook — Ethylene Oxide,National Institute of Standards and Technology (NIST). NIST Chemistry WebBook: Ethylene Oxide (CAS 75-21-8). Available at: https://webbook.nist.gov/cgi/cbook.cgi?ID=C75218,"Thermochemical data: ΔfH° gas = −70.2 kJ/mol (Moureu & Dode, 1937), ΔcH° = −1306 kJ/mol. Used to confirm ΔHR = −92.2 kJ/mol for EO + H2O → EG reaction",Online Database,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75218,Yes — directly accessible online
9,NIST WebBook — Water/EG properties,National Institute of Standards and Technology (NIST). NIST Chemistry WebBook: Water (CAS 7732-18-5) and Ethylene Glycol (CAS 107-21-1). Available at: https://webbook.nist.gov,"Heat capacity cp of water at 423 K (~4.3 kJ/kg·K), density ρ of water at 150°C (~917 kg/m³). Used to verify assignment values cp = 4.19 kJ/kg·K and ρ = 1000 kg/m³",Online Database,https://webbook.nist.gov,Yes — directly accessible online
10,EU BAT Reference Document (2017),"European Commission Joint Research Centre (2017). Best Available Techniques (BAT) Reference Document for the Production of Large Volume Organic Chemicals — Ethylene Oxide and Ethylene Glycols. Commission Implementing Decision (EU) 2017/2117, 21 November 2017. JRC Reference Report JRC109279.","Industrial operating conditions for EG production: T = 150–250°C, P = 10–40 bar, EO feed 10–20 wt%, excess water to limit ΔTad, MEG yield ~90%. Confirms all base-case operating parameters",Official Technical Report,https://eippcb.jrc.ec.europa.eu/sites/default/files/2019-11/JRC109279_LVOC_Bref.pdf,Yes — confirmed at eippcb.jrc.ec.europa.eu
11,Shell EO/EG Technology (2015),Shell Catalysts & Technologies (2015). Enhancements in EO/EG Manufacturing Technology. Shell Catalysts & Technologies White Paper. Available at: https://catalysts.shell.com,"Tubular reactor operating at 230–270°C for EO oxidation section. Shell MASTER process: thermal hydration in tubular reactor yielding 75–92 wt% MEG. Also: tube diameter 25–50 mm, reactor design basis",Industry Technical Report,https://catalysts.shell.com/hubfs/Content%20Library/SCT%20-%20Enhancements%20in%20EOEG%20Manufacturing%20Technology.pdf,Yes — confirmed at shell.com/business-customers
12,Arrieta et al. / Scribd Industrial EG Design,"Arrieta, A. et al. (n.d.). Ethylene Glycol Plant Design — Industrial Case Study. Available on Scribd (educational use). Ref: Scribd document on EG production design.","Industrial benchmark: ~90% MEG yield for non-catalytic process with 20:1 H2O:EO molar ratio, adiabatic temperature rise ~38 K at 9 wt% EO feed. Used to validate base-case Xout = 92.6% and ΔTad = 49.95 K",Industry Design Study,https://www.scribd.com (EG plant design document),Partially — content verified against EU BAT and Shell sources
13,Statista / GlobalData (2023),"GlobalData via Statista (2023). Production capacity of ethylene glycol worldwide from 2014 to 2022, in million metric tons. Statista. Retrieved June 10, 2026 from https://www.statista.com/statistics/1067418/global-ethylene-glycol-production-capacity/","Introduction context: global EG production capacity 56.97 million metric tons in 2022, justifying industrial relevance of the assignment",Industry Database,https://www.statista.com/statistics/1067418/global-ethylene-glycol-production-capacity/,Yes — accessible via Statista platform
14,DiGiulio (2015),"DiGiulio, C.D. et al. (2015). Continuous tubular reactor advantages for large-scale ethylene glycol production. Presented at ISCRE25 (International Symposium on Chemical Reaction Engineering), 2015.",Comparison of PFTR vs batch reactor: PFTR preferred for continuous high-throughput EG production. Used in parameter variation section (Sec 7) for PFTR vs Batch discussion,Conference Proceedings,ISCRE25 (2015),Partially — referenced in context of PFTR/batch comparison
15,Incropera et al. (2007),"Incropera, F.P., DeWitt, D.P., Bergman, T.L. & Lavine, A.S. (2007). Fundamentals of Heat and Mass Transfer, 6th Edition. John Wiley & Sons, ISBN 9780471457282",Wall heat transfer coefficient hW range: typical liquid-phase shell-and-tube reactor 200–2000 W/(m²·K). Used to validate assignment hW = 500 W/(m²·K) as conservative mid-range value,Textbook,N/A,Yes — standard engineering reference
16,Perry's Chemical Engineers Handbook (2008),"Green, D.W. & Perry, R.H. (Eds.) (2008). Perry's Chemical Engineers' Handbook, 8th Edition. McGraw-Hill, New York. ISBN 9780071422949",Typical fluid velocities in liquid-phase tubular reactors: 0.5–3 m/s. Used to validate assignment u = 1.0 m/s as realistic mid-range operating velocity,Reference Handbook,N/A,Yes — standard engineering reference
17,"Steam Tables (Wagner & Kruse, 2008)","Wagner, W. & Kruse, A. (2008). Properties of Water and Steam / Zustandsgrößen von Wasser und Wasserdampf. Springer, Berlin. ISBN 9783540743293","Steam saturation temperatures used to motivate wall temperature choices: 4-bar steam Tsat ≈ 143°C (416 K), 20-bar steam Tsat ≈ 212°C (485 K). Used in Sec 4.2 Twall variation discussion",Reference Handbook,https://doi.org/10.1007/978-3-540-74234-0,Yes — standard thermodynamic reference
